Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Products,IRDAI Registration Number
Bajaj Allianz General Insurance Co. Ltd.,Tapan Singhel (MD & CEO),bagichelp@bajajallianz.co.in,1800-209-5858,https://www.bajajallianz.com,25 Years (Est. 2001),"₹1,500 - ₹50,000+ / year","Leading private general insurer in India offering comprehensive home, commercial property, Bharat Griha Raksha, and industrial risk insurance.",Pan-India,"Bharat Griha Raksha, Bharat Sookshma Udyam Suraksha, Standard Fire & Special Perils, Industrial All Risk (IAR)",IRDAI Reg. No. 113
ICICI Lombard General Insurance Co. Ltd.,Sanjeev Mantri (MD & CEO),customersupport@icicilombard.com,1800-2666,https://www.icicilombard.com,25 Years (Est. 2001),"₹1,200 - ₹45,000+ / year","One of India's largest private non-life insurers providing extensive residential, commercial property, and enterprise property damage insurance.",Pan-India,"Home Shield Insurance, Bharat Griha Raksha, Commercial Property Insurance, Business Interruption, Fire & Burglary Insurance",IRDAI Reg. No. 115
HDFC ERGO General Insurance Co. Ltd.,Anuj Tyagi (MD & CEO),care@hdfcergo.com,022-62346234,https://www.hdfcergo.com,24 Years (Est. 2002),"₹1,500 - ₹40,000+ / year","Leading general insurer providing robust home building, content coverage, office package policies, and commercial property risk management.",Pan-India,"Home Insurance Plan, Bharat Griha Raksha, Office Package Policy, Standard Fire & Special Perils, Industrial All Risks",IRDAI Reg. No. 146
Tata AIG General Insurance Co. Ltd.,Neelesh Garg (MD & CEO),customersupport@tataaig.com,1800-266-7780,https://www.tataaig.com,25 Years (Est. 2001),"₹1,400 - ₹50,000+ / year","Joint venture between Tata Group and AIG offering tailored property, fire, burglary, and catastrophic hazard insurance for residential and commercial assets.",Pan-India,"Tata AIG Home Secure, Bharat Griha Raksha, Bharat Laghu Udyam Suraksha, Property Damage Insurance, Consequential Loss Policy",IRDAI Reg. No. 108
The New India Assurance Co. Ltd.,Girija Subramanian (CMD),tech.support@newindia.co.in,1800-209-1415,https://www.newindia.co.in,107 Years (Est. 1919),"₹1,000 - ₹35,000+ / year","India's premier multinational public sector general insurance company offering extensive property protection for residential, industrial, and infrastructure assets.",Pan-India & Global,"Householders Insurance, Standard Fire and Special Perils, Bharat Griha Raksha, Industrial All Risk, Shopkeepers Insurance",IRDAI Reg. No. 190
National Insurance Co. Ltd.,Rajeswari S. (CMD),customer.support@nic.co.in,1800-345-0330,https://nationalinsurance.nic.co.in,120 Years (Est. 1906),"₹1,000 - ₹30,000+ / year","Historic public sector non-life insurer offering property underwriting, fire, earthquake, storm, and burglary coverage across urban and rural India.",Pan-India,"Householders Insurance, Fire & Allied Perils, Bharat Griha Raksha, Industrial Property Insurance, Business Interruption Cover",IRDAI Reg. No. 58
The Oriental Insurance Co. Ltd.,Rashmi Ramanathan (CMD),csd@orientalinsurance.co.in,1800-118-485,https://orientalinsurance.org.in,79 Years (Est. 1947),"₹1,100 - ₹32,000+ / year","Public sector non-life insurance pioneer specializing in complex commercial property underwriting, home insurance, and mega-risk property covers.",Pan-India,"Bharat Griha Raksha, Householders Policy, Standard Fire & Special Perils, Shop Insurance, Industrial All Risk Policy",IRDAI Reg. No. 556
United India Insurance Co. Ltd.,Bhupesh Sushil Rahul (CMD),customercare@uiic.co.in,1800-425-33333,https://uiic.co.in,88 Years (Est. 1938),"₹1,000 - ₹30,000+ / year","Leading public sector general insurer providing comprehensive property, real estate asset, fire, flood, and business premises risk coverage.",Pan-India,"Householder Insurance, Bharat Griha Raksha, Bharat Sookshma Udyam Suraksha, Fire Insurance, Machinery Breakdown & Property Cover",IRDAI Reg. No. 545
SBI General Insurance Co. Ltd.,Naveen Chandra Jha (MD & CEO),customer.care@sbigeneral.in,1800-102-1111,https://www.sbigeneral.in,17 Years (Est. 2009),"₹1,200 - ₹38,000+ / year","Joint venture between State Bank of India and Premji Invest offering digital-first residential, commercial, and enterprise property insurance.",Pan-India,"SBI General Long Term Home Insurance, Bharat Griha Raksha, Business Asset Protect, Standard Fire & Special Perils, SME Property Package",IRDAI Reg. No. 144
Reliance General Insurance Co. Ltd.,Rakesh Jain (CEO),services.rgicl@relianceada.com,1800-3009,https://www.reliancegeneral.co.in,26 Years (Est. 2000),"₹1,300 - ₹42,000+ / year","Prominent private general insurer offering end-to-end property security, Bharat Griha Raksha, fire risk insurance, and commercial warehouse covers.",Pan-India,"Reliance Home Insurance, Bharat Griha Raksha, Commercial Property Shield, Standard Fire & Allied Perils, Industrial All Risk",IRDAI Reg. No. 103
