Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Product Categories,Supported Brands
Godrej Locks & Architectural Fittings and Systems,Shyam Motwani (EVP & Business Head),locksenquiry@godrej.com,+91-22-67964890,https://www.godrej.com/godrej-locking-solutions-and-systems,125+ Years (Est. 1897),Mid-Range to Premium,"India's pioneer locking and architectural hardware enterprise offering advanced mechanical, digital locks, architectural hardware, and access control solutions.",Pan India & Global (Over 60 countries),"Digital Locks, Mortise Locks, Architectural Door Hardware, Glass Hardware, Kitchen & Furniture Fittings","Godrej, Godrej Advantis, Godrej Cartini"
Ozone Overseas Pvt. Ltd.,Alok Aggarwal (Managing Director),customercare@ozone-india.com,+91-9310012300,https://www.ozone-india.com,25+ Years (Est. 1999),Mid-Range to Luxury,"Leading architectural hardware and security solutions manufacturer specializing in glass fittings, door controls, sliding systems, and digital locks.","Pan India, Middle East, Southeast Asia","Glass Door Hardware, Shower Enclosures, Railing Systems, Door Closers, Floor Springs, Digital Safes & Locks","Ozone, Ozone Out-Smart, Ozone Secutech"
Dorset India (Dorset Group),Rajesh Bansal (Chairman & Managing Director),response@dorsetindia.com,+91-124-4567890,https://www.dorsetindia.com,28+ Years (Est. 1995),Mid-Range to Premium,"Premier architectural hardware, high-security locking systems, glass fixtures, and digital access control solutions provider.","Pan India, Middle East, Africa, SAARC","Mortise Handles, High Security Cylinders, Panic Exit Devices, Glass Architectural Fittings, Door Pull Handles","Dorset, Dorset Kaba"
Ebco Private Limited,Ashley D'Souza (Director),info@ebco.in,+91-22-67837777,https://www.ebco.in,60+ Years (Est. 1963),Economy to Premium,One of India's largest furniture hardware and architectural fitting manufacturers with extensive R&D and precision manufacturing facilities.,"Pan India, South Asia, Middle East","Drawer Slides, Concealed Hinges, Modular Kitchen Fittings, Wardrobe Sliding Systems, Window Friction Stays","Ebco, Livsmart, Worksmart"
Kich Architectural Products Pvt. Ltd.,Nitin Patel (Managing Director),sales@kichindia.com,+91-2827-287515,https://www.kichindia.com,30+ Years (Est. 1992),Premium to Luxury,"India's first manufacturer of premium stainless steel architectural hardware, bathroom accessories, and handrail & balustrade systems.",Pan India & Exporting to 40+ countries,"Stainless Steel Door Handles, Mortise Locks, Railing Systems, Glass Fittings, Bathroom Accessories","Kich, Kich Premium Brass"
Hardwyn India Limited,Rubaljit Singh Sayal (Managing Director),info@hardwyn.com,+91-11-47700200,https://www.hardwyn.com,55+ Years (Est. 1967),Mid-Range to Premium,"Publicly listed architectural hardware manufacturer offering complete solutions for residential, commercial, and hospitality infrastructure.","Pan India, UAE, Southeast Asia","Door Closers, Floor Springs, Patch Fittings, Spider Fittings, Sliding Systems, Mortise Handles","Hardwyn, Slimline"
Quba Group (Quba Architectural Products),Chetan Patel (Director),contact@quba.co.in,+91-2827-287700,https://www.quba.co.in,20+ Years (Est. 2003),Mid-Range to Luxury,"Prominent architectural hardware group from Rajkot producing luxury architectural handles, main door pull handles, and digital security solutions.","Pan India, Middle East, Africa","Architectural Handles, Digital Door Locks, Mortise Locks, Furniture Fittings, Glass Hardware","Quba, SYMETRY, Artefact, Chiaro"
Häfele India Pvt. Ltd.,Frank Schloeder (Managing Director),customercare@hafeleindia.com,+91-22-61426100,https://www.hafeleindia.com,20+ Years in India (Global Est. 1923),Premium to Ultra-Luxury,"International leader in German architectural hardware, furniture fittings, electronic locking systems, and premium kitchen solutions.","Pan India, Sri Lanka, Bangladesh, Nepal, Bhutan","Architectural Ironmongery, Sliding & Folding Systems, Furniture Fittings, Electronic Access Systems, Kitchen Hardware","Häfele, Loox, Slido, Dialock, Matrix"
Hettich India Pvt. Ltd.,Andre Eckholt (Managing Director),customer_services@hettich.com,+91-11-48894000,https://www.hettich.com/in-en,24+ Years in India (Global Est. 1888),Mid-Range to Luxury,"Leading German manufacturer of intelligent furniture hardware, precision hinges, drawer systems, and sliding door mechanisms.",Pan India & South Asia,"Sensys Hinges, InnoTech/AvanTech Drawer Systems, Wardrobe Sliding Hardware, Folding Door Fittings, Flap Fittings","Hettich, InnoTech, AvanTech YOU, TopLine, WingLine"
Blum India Pvt. Ltd.,Nadeem Patni (Managing Director),info.in@blum.com,+91-22-46107000,https://www.blum.com/in/en/,15+ Years in India (Global Est. 1952),Premium to Luxury,"Austrian precision manufacturer specialized in lift systems, hinge systems, and box systems for luxury modular kitchens and interiors.","Pan India, Sri Lanka, Nepal","AVENTOS Lift Systems, CLIP top BLUMOTION Hinges, LEGRABOX Drawer Systems, TANDEMBOX, AMBIA-LINE Inner Dividing","Blum, Blumotion, Tip-On, Aventos, Legrabox"
