Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Materials,Delivery Capability,,,
UltraTech Cement Limited,K. C. Jhanwar (Managing Director) / Vivek Agrawal (Whole-time Director & CMO),csutcl@adityabirla.com,+91 22 6691 7800 / 1800 210 3311 (Toll-Free),https://www.ultratechcement.com,40+ Years (Est. 1983),"₹370 - ₹440 per 50kg bag (Retail/Wholesale) / ₹6,800 - ₹7,800 per MT (Bulk)","UltraTech Cement Limited, the flagship cement company of the Aditya Birla Group, is India's largest manufacturer of grey cement, ready-mix concrete (RMC), and white cement. With an installed manufacturing capacity exceeding 150 MTPA across more than 24 integrated plants, it stands as the 3rd largest cement producer in the world outside China.","Pan-India (All 28 States and 8 Union Territories across North, South, East, West, and Central India)","Ordinary Portland Cement (OPC 53, OPC 43), Portland Pozzolana Cement (PPC), Portland Slag Cement (PSC), Composite Cement (PCC), Super Duraguard, Weather Pro, Birla White (White Cement & Wall Care Putty), Ready Mix Concrete (RMC), Microfine Cement","Nationwide multi-modal logistics with 100+ grinding units and bulk terminals, dedicated pneumatic bulk carrier fleet, private railway sidings with automated rake loading, 24-48 hr standard delivery SLA, minimum order quantity 15 MT (bagged road transport) / 25-30 MT (bulk tankers) / full rake for rail sidings.",,,
Ambuja Cements Limited,Ajay Kapur (Whole-time Director & CEO) / Manish Mistry (Company Secretary),consumer.care@adani.com,1800 223 010 (Toll-Free) / +91 79 2656 5555,https://www.ambujacement.com,40+ Years (Est. 1983),"₹360 - ₹430 per 50kg bag (Retail/Wholesale) / ₹6,600 - ₹7,600 per MT (Bulk)","Ambuja Cements Limited, a flagship entity under the Adani Portfolio, is one of India's leading cement and building materials producers with over 31 MTPA standalone and over 75 MTPA consolidated capacity. Renowned for sustainable manufacturing and proprietary coastal shipping terminals, Ambuja provides specialized strength and water-resistant cement solutions across India.","Pan-India (Extensive presence across North, West, East, and Central India including Gujarat, Maharashtra, Rajasthan, Punjab, Himachal Pradesh, UP, Bihar, and West Bengal)","Ambuja Cement (PPC), Ambuja Plus, Ambuja Kawach (water-repellent cement), Ambuja Compocem (Composite Cement), Ambuja Cool Walls, Ordinary Portland Cement (OPC 43, OPC 53), Microfine Cement","Integrated coastal shipping terminals on the West Coast, dedicated rail sidings at major mother plants, extensive network of road bulkers and authorized dealers, 24-48 hr lead time across serviced clusters, minimum order quantity 10-15 MT (bagged) / 25 MT (bulk).",,,
ACC Limited,Ajay Kapur (Director & CEO) / Hitesh Marthak (Company Secretary),acc-investorsupport@adani.com,1800 103 3444 (Toll-Free) / +91 22 4159 3321,https://www.acclimited.com,90+ Years (Est. 1936),"₹350 - ₹425 per 50kg bag (Retail/Wholesale) / ₹6,500 - ₹7,500 per MT (Bulk)","ACC Limited (a subsidiary of Ambuja Cements under Adani Group) is one of India's oldest and most prestigious cement and concrete manufacturers with 17+ modern manufacturing units and over 38 MTPA installed capacity. It operates an expansive network of over 90 ready-mixed concrete plants, delivering high-performance building materials for national infrastructure.","Pan-India (Comprehensive distribution network spanning Northern, Eastern, Western, Central, and Southern India)","ACC Suraksha Power, ACC Concrete+ Extra Strong, ACC Gold Water Shield, ACC F2R (Foundation to Roof), Ordinary Portland Cement (OPC 43, OPC 53), Portland Slag Cement (PSC), Portland Pozzolana Cement (PPC), Ready-Mixed Concrete (RMC)","Direct railway rake loading sidings at manufacturing plants, fleet of GPS-tracked road transport bulkers, localized dispatch hubs ensuring 24-36 hr turnaround, minimum order quantity 10 MT (retail bulk delivery) to 1 rake load (institutional railway supply).",,,
Shree Cement Limited,Neeraj Akhoury (Managing Director) / S. S. Khandelwal (Company Secretary),shreebwr@shreecement.com,+91 1462 228101 / 1800 180 6005 (Toll-Free),https://www.shreecement.com,45+ Years (Est. 1979),"₹340 - ₹415 per 50kg bag (Retail/Wholesale) / ₹6,300 - ₹7,300 per MT (Bulk)","Shree Cement Limited is one of India's top three cement manufacturing groups, operating flagship brands like Bangur Cement, Shree Jung Rodhak, and Rockstrong with an aggregate capacity exceeding 50 MTPA. It is globally recognized as one of the lowest-cost and most energy-efficient cement producers with major plants across North, East, and South India.","North, East, Central, and Southern India (Rajasthan, Haryana, Punjab, Uttar Pradesh, Uttarakhand, Bihar, Jharkhand, West Bengal, Odisha, Chhattisgarh, Karnataka, Andhra Pradesh)","Shree Jung Rodhak Cement, Bangur Cement, Bangur Power Cement, Rockstrong Cement, OPC 43, OPC 53, Portland Pozzolana Cement (PPC), Portland Slag Cement (PSC), Ready Mix Concrete","Advanced captive railway sidings connected to Indian Railways network, large fleet of pneumatic road bulkers, 24-48 hr standard delivery schedule from regional grinding units, minimum order quantity 15 MT for truckloads / full rake for rail sidings.",,,
Dalmia Bharat Limited,Puneet Dalmia (Managing Director & CEO) / Rajeev Kumar (Company Secretary),customercare@dalmiacement.com,1800 2020 (Toll-Free) / +91 11 2346 5100,https://www.dalmiacement.com,85+ Years (Est. 1939),"₹360 - ₹435 per 50kg bag (Retail/Wholesale) / ₹6,700 - ₹7,700 per MT (Bulk)","Dalmia Bharat Limited is a pioneer in Indian cement manufacturing with an installed production capacity of over 45 MTPA across 15+ plants in Eastern, Southern, Western, and North-Eastern India. A recognized global leader in low-carbon cement production, Dalmia is renowned for specialized super-speciality cements used in airstrips, oil wells, and railway sleepers.","East, South, West, and North-East India (Tamil Nadu, Andhra Pradesh, Karnataka, Kerala, Odisha, West Bengal, Bihar, Jharkhand, Assam, Meghalaya, Maharashtra)","Dalmia DSP Cement, Dalmia Infra Pro, Dalmia Supreme, OPC 43, OPC 53, Portland Pozzolana Cement (PPC), Portland Slag Cement (PSC), Composite Cement, Sulphate Resistant Cement (SRC), Oil Well Cement, Railway Sleeper Cement","Mechanized automated rake loading stations, robust bulk tanker logistics for large infrastructure projects, 24-48 hr lead times from plant/depot, minimum order 15 MT (road transport) and 1,200+ MT (train rakes).",,,
JK Cement Limited,Madhavkrishna Singhania (Deputy MD & CEO) / Shambhu Singh (Company Secretary),shambhu.singh@jkcement.com,+91 512 2371478 / 1800 266 4606 (Toll-Free),https://www.jkcement.com,50+ Years (Est. 1974),"₹355 - ₹430 per 50kg bag (Grey) / ₹950 - ₹1,150 per 50kg bag (White) / ₹6,600 - ₹7,600 per MT","JK Cement Ltd. is an Indian building materials powerhouse and one of the largest producers of White Cement and Wall Putty globally, alongside a massive grey cement capacity of over 22 MTPA. It operates premier manufacturing facilities in Rajasthan, UP, MP, Gujarat, and Karnataka, providing high-durability construction products.","Pan-India (Northern, Western, Central, and Southern India with nationwide white cement distribution)","JK Super Cement (OPC 43, OPC 53, PPC, PSC), JK Super Strong Weather Shield, JK WhiteMaxX (White Portland Cement), JK WallMaxX (Wall Putty), JK TileMaxX, JK RepairMaxX, Microfine Cement","Dedicated multi-modal logistics with automated bagging and rail sidings at mother plants, widespread depot network across 15+ states, 24-48 hr turnaround for institutional dispatches, minimum order 10 MT (bagged grey cement) / 5 MT (white cement/value-added products).",,,
JK Lakshmi Cement Limited,Arun Kumar Shukla (President & Director) / Amit Chaurasia (Company Secretary),jklc.investors@jkmail.com,1800 102 5097 (Toll-Free) / +91 11 6600 1112,https://www.jklakshmicement.com,40+ Years (Est. 1982),"₹340 - ₹410 per 50kg bag (Retail/Wholesale) / ₹6,400 - ₹7,300 per MT (Bulk)","JK Lakshmi Cement Limited, part of the prestigious JK Organisation, operates high-capacity integrated cement plants in Rajasthan, Chhattisgarh, Gujarat, and Haryana with an annual installed capacity of ~14 MTPA. It provides premium strength cement, ready-mix concrete, and autoclaved aerated concrete (AAC) blocks across northern, western, and central markets.","North, West, and Central India (Rajasthan, Gujarat, Haryana, Delhi NCR, Uttar Pradesh, Punjab, Madhya Pradesh, Chhattisgarh, Maharashtra)","JK Lakshmi Cement (OPC 43, OPC 53, PPC), JK Lakshmi PRO+ Cement, Platinum Heavy Duty Cement, JK Lakshmi Plast (Gypsum Plaster), Power Mix RMC, Smart Blox (AAC Blocks), JK Lakshmi Brava Mortars","Dedicated fleet of bulkers and multi-axle freight carriers, captive railway sidings with automated rake loading, 24-48 hr dispatch delivery window, minimum order quantity 15 MT (road freight) to 1,500 MT (railway rakes).",,,
Birla Corporation Limited (M.P. Birla Cement),Sandip Ghose (MD & CEO) / Manoj Kumar Mehta (Company Secretary & Legal Head),unit@birlacorp.com,1800 123 1117 (Toll-Free) / +91 33 2248 0135,https://www.mpbirlacement.com,105+ Years (Est. 1919; Cement Div. Est. 1950s),"₹350 - ₹420 per 50kg bag (Retail/Wholesale) / ₹6,500 - ₹7,400 per MT (Bulk)","Birla Corporation Limited, the flagship company of the M.P. Birla Group, operates 10 modern cement plants across Satna, Chanderia, Durgapur, Maihar, Kundanganj, and Mukutban with an aggregate capacity of ~20 MTPA. It is renowned for high-performance Portland Pozzolana and Slag cements tailored for severe environmental conditions.","North, Central, and Eastern India (Madhya Pradesh, Uttar Pradesh, Rajasthan, West Bengal, Bihar, Jharkhand, Chhattisgarh, Maharashtra, Haryana, Delhi)","MP Birla Cement Perfect Plus, Ultimate Ultra, Samrat Advanced, Chetak, Unique, Samrat, Multicem, PSC, OPC 43, OPC 53, PPC, Masonry Cement","Extensive rail infrastructure connected to major freight corridors, dedicated fleet of bulk tankers for infrastructure projects, robust primary and secondary warehousing network, 24-48 hr lead time, minimum order 15 MT (road) / 2,000 MT (rake).",,,
The Ramco Cements Limited,A. V. Dharmakrishnan (CEO) / K. Selvavinayagam (Company Secretary),ksn@ramcocements.co.in,+91 44 2847 8666 / +91 44 2847 8656,https://www.ramcocements.in,65+ Years (Est. 1957),"₹370 - ₹450 per 50kg bag (Retail/Wholesale) / ₹6,900 - ₹8,000 per MT (Bulk)","The Ramco Cements Limited (formerly Madras Cements) is the fifth largest cement producer in India and the premier brand in South and East India, operating state-of-the-art plants with over 22 MTPA capacity. It specializes in application-specific blended cements, dry mix mortars, and high-durability infrastructure grades.","South and East India (Tamil Nadu, Kerala, Andhra Pradesh, Telangana, Karnataka, Odisha, West Bengal)","Ramco Supergrade (PPC), Ramco Supercrete, Ramco Super Fast, Ramco Super Coast, Ramco Infra 53 Grade (OPC 53), OPC 43, Ramco EFC (Eco-Friendly Cement), Dry Mortar products (Tile Fix, Block Fix, Super Plaster)","Automated packing and loading plants with private rail sidings, dedicated pneumatic bulk carrier fleet supplying major infrastructure corridors, 24-36 hr regional delivery turnaround, minimum order 10-15 MT (road trucks) / 1,200 MT (rail wagons).",,,
The India Cements Limited,N. Srinivasan (Vice Chairman & MD) / S. Sridharan (Company Secretary),corporate@indiacements.co.in,+91 44 2852 1526 / +91 44 2852 4004,https://www.indiacements.co.in,75+ Years (Est. 1946),"₹360 - ₹440 per 50kg bag (Retail/Wholesale) / ₹6,700 - ₹7,800 per MT (Bulk)","The India Cements Limited is a legacy South Indian manufacturing giant producing trusted household brands like Sankar Super Power, Coromandel King, and Raasi Gold with an aggregate capacity of ~16 MTPA across 8 integrated plants. The company supplies high-grade Portland and blended cements to iconic infrastructure projects across India.","Southern and Western India (Tamil Nadu, Andhra Pradesh, Telangana, Karnataka, Kerala, Maharashtra, Goa)","Sankar Super Power, Coromandel King, Raasi Gold, OPC 53 Grade, OPC 43 Grade, Portland Pozzolana Cement (PPC), Portland Slag Cement (PSC), Coromandel Super Power, Ready Mix Concrete","Established railway sidings at all major mother plants (Sankarnagar, Chilamkur, Vishnupuram, Malkapur), dedicated institutional bulk tanker fleet, guaranteed 24-48 hr lead time across South India, minimum order quantity 15 MT (truckloads) / 1,400 MT (full rakes).",,,
