Business Name,Contact Person,Email,Phone,Website,Years of Experience,Service Areas,Loan Types,Interest Rate Min (%),Interest Rate Max (%),Processing Fee,RBI Registration
State Bank of India (SBI),Dinesh Kumar Khara / Chief General Manager (Real Estate & Housing),customercare@sbi.co.in,1800 1234 / 1800 2100,https://www.sbi.co.in,71 Years (Est. 1955),Pan-India (22000+ Branches),Regular Home Loan; SBI Privilege; SBI Shaurya; SBI MaxGain; Tribal Plus; Realty Home Loan; Balance Transfer,8.5,9.85,0.35% of loan amount (Min Rs. 2000; Max Rs. 10000) + GST,RBI Registered Scheduled Public Sector Bank
Punjab National Bank (PNB),Atul Kumar Goel / General Manager (Retail Lending),care@pnb.co.in,1800 180 2222 / 1800 103 2222,https://www.pnbindia.in,132 Years (Est. 1894),Pan-India (10000+ Branches),PNB Max-Saver; PNB Pride; Housing Loan for Public; PNB Gen-Next; Pradhan Mantri Awas Yojana,8.4,10.25,0.35% of loan amount (Min Rs. 2500; Max Rs. 15000) + GST,RBI Registered Scheduled Public Sector Bank
Bank of Baroda (BOB),Debadatta Chand / Head - Mortgage & Retail Assets,customercare@bankofbaroda.com,1800 5700 / 1800 5000,https://www.bankofbaroda.in,118 Years (Est. 1908),Pan-India (8200+ Branches),Baroda Home Loan; Baroda Home Loan Advantage; Baroda Top-Up Loan; Baroda Pre-Approved Home Loan,8.4,10.6,Nil to 0.25% of loan amount (Min Rs. 1500; Max Rs. 10000) + GST,RBI Registered Scheduled Public Sector Bank
Canara Bank,K. Satyanarayana Raju / General Manager (Retail Assets),hocancare@canarabank.com,1800 425 0018 / 1800 1030,https://www.canarabank.com,120 Years (Est. 1906),Pan-India (9600+ Branches),Canara Housing Loan; Canara Site Loan; Canara Home Improvement Loan; Canara NRI Home Loan,8.4,10.8,0.50% of loan amount (Min Rs. 1500; Max Rs. 10000) + GST,RBI Registered Scheduled Public Sector Bank
Union Bank of India,A. Manimekhalai / Chief General Manager (Retail Banking),customercare@unionbankofindia.bank,1800 22 22 44 / 1800 208 2244,https://www.unionbankofindia.co.in,107 Years (Est. 1919),Pan-India (8500+ Branches),Union Awas; Union Home; Union Smart Save; Union Ashiyana; Home Loan Balance Transfer,8.35,10.5,0.50% of loan amount (Max Rs. 15000) + GST,RBI Registered Scheduled Public Sector Bank
Bank of India (BOI),Rajneesh Karnatak / General Manager (Mortgage Lending),cgm.retail@bankofindia.co.in,1800 103 1906 / 1800 220 229,https://www.bankofindia.co.in,120 Years (Est. 1906),Pan-India (5100+ Branches),BOI Star Home Loan; Star Diamond Home Loan; Star Top-Up Loan; Star Smart Home Loan,8.45,10.75,0.25% of loan amount (Min Rs. 1500; Max Rs. 20000) + GST,RBI Registered Scheduled Public Sector Bank
Indian Bank,S. L. Jain / General Manager (Retail Credit),customercare@indianbank.co.in,1800 425 00 000,https://www.indianbank.in,119 Years (Est. 1907),Pan-India (5700+ Branches),IB Home Loan; IB Plot Loan; IB Home Improvement; IB NRI Home Loan; IB Home Advantage,8.4,10.35,0.25% of loan amount (Max Rs. 10000) + GST,RBI Registered Scheduled Public Sector Bank
Central Bank of India,M. V. Rao / Chief Manager (Retail Lending Division),customercare@centralbank.co.in,1800 22 1911,https://www.centralbankofindia.co.in,115 Years (Est. 1911),Pan-India (4500+ Branches),Cent Home Loan; Cent Home Double Plus; Cent Grih Lakshmi; Cent Combo Loan,8.45,10.25,0.50% of loan amount (Max Rs. 20000) + GST,RBI Registered Scheduled Public Sector Bank
Indian Overseas Bank (IOB),Ajay Kumar Srivastava / General Manager (Retail & Mortgages),customercare@iob.in,1800 890 4445 / 1800 425 4445,https://www.iob.in,89 Years (Est. 1937),Pan-India (3200+ Branches),Subha Gruha Home Loan; IOB Home Improvement; IOB Green Home Loan; IOB NRI Home Loan,8.4,10.8,0.50% of loan amount (Max Rs. 15000) + GST,RBI Registered Scheduled Public Sector Bank
UCO Bank,Ashwani Kumar / General Manager (Personal Banking),hopbc.calcutta@ucobank.co.in,1800 103 0123,https://www.ucobank.com,83 Years (Est. 1943),Pan-India (3000+ Branches),UCO Shelter; UCO Home Loan Balance Transfer; UCO Griha Shobha; UCO Top-up,8.45,10.5,0.50% of loan amount (Max Rs. 12500) + GST,RBI Registered Scheduled Public Sector Bank
