Business Name,Contact Person,Email,Phone,Website,Years of Experience,Pricing Range,Business Description,Service Areas,Materials,Supported Brands
Simpolo Vitrified Pvt. Ltd. (Simpolo Ceramics),Jitendra T. Aghara (Chairman & Managing Director),customercare@simpolo.net,+91 72289 22222,https://www.simpolo.net,45+ Years (Est. 1977),Premium to Luxury (₹75 - ₹350/sq.ft),"Leading manufacturer and global exporter of high-end glazed vitrified tiles, ultra-large format porcelain slabs (iMBL), and innovative surface finishes for luxury architecture.","Morbi, Rajkot, Ahmedabad, Pan-India, Global Exports (50+ countries)","Glazed Vitrified Tiles (GVT/PGVT), Large Format Porcelain Slabs, Full Body Vitrified Tiles, Wall & Floor Ceramic Tiles, Smart Sanitaryware","Simpolo Ceramics, Prive by Simpolo, In-house collections"
Qutone Ceramic Pvt. Ltd.,Manoj Agarwal (Chairman & Managing Director),info@qutoneceramic.com,+91 95608 48888,https://www.qutoneceramic.com,18+ Years (Est. 2008),Premium to Ultra-Luxury (₹90 - ₹450/sq.ft),"Pioneering architectural surface brand specializing in large-scale porcelain slabs (iMarble), technical vitrified surfaces, and luxury wall/floor coverings.","Ahmedabad, Morbi, Gujarat, Pan-India, Global Exports (60+ countries)","Large Format Slabs, iMarble Porcelain, Glazed Vitrified Tiles, Quartz Stone, Technical Porcelain","Qutone Ceramic, iMarble, In-house collections"
Varmora Granito Pvt. Ltd.,Bhavesh Varmora (Chairman & Managing Director),marketing@varmora.com,+91 1800 212 0053,https://www.varmora.com,30+ Years (Est. 1994),Economy to Luxury (₹50 - ₹300/sq.ft),"Major ceramic and vitrified tile manufacturer providing comprehensive surface finishing solutions, outdoor heavy-duty tiles, and integrated sanitaryware products.","Morbi, Ahmedabad, Rajkot, Pan-India, Global Exports (70+ countries)","Vitrified Tiles, Ceramic Wall Tiles, Glazed Porcelain, Full Body Vitrified, Outdoor Step-Riser, Large Format Slabs","Varmora, Varmora Fastclick, Varmora Bathware"
Sunshine Tiles Co. Pvt. Ltd. (Sunhearrt Ceramik),Bhudarbhai Patel (Chairman) / Jaysukh Patel (Managing Director),info@sunhearrt.com,+91 79 6155 4444,https://www.sunhearrt.com,15+ Years (Est. 2009),Economy to Premium (₹55 - ₹280/sq.ft),"Prominent ceramic conglomerate manufacturing high-performance GVT/PGVT floor tiles, digital ceramic wall tiles, and architectural facade slabs.","Morbi, Ahmedabad, Rajkot, Pan-India, Global Exports (65+ countries)","GVT / PGVT Tiles, Digital Wall Tiles, Full Body Vitrified, Heavy Duty Parking Tiles, Porcelain Slabs","Sunhearrt Ceramik, Sunshine Tiles"
Asian Granito India Ltd. (AGL),Kamleshbhai Patel (Chairman and Managing Director),info@asiangranito.com,+91 79 6612 5500,https://www.aglasiangranito.com,24+ Years (Est. 2000),Economy to Luxury (₹60 - ₹400/sq.ft),"Top-tier publicly listed surface and marble manufacturer delivering engineered marble, quartz stone, large-format porcelain slabs, and designer vitrified tiles.","Ahmedabad, Himmatnagar, Gujarat, Pan-India, Global Exports (100+ countries)","Engineered Marble, Quartz Stone, Vitrified Tiles, Ceramic Wall/Floor Tiles, Composite Slabs, Glazed Porcelain","AGL Tiles, AGL Marble & Quartz, AGL Bathware"
Lioli Ceramica Pvt. Ltd.,Milan Chandubhai Gadara (Director),info@lioliceramica.com,+91 2822 240 100,https://www.lioliceramica.com,10+ Years (Est. 2016),Premium to Ultra-Luxury (₹120 - ₹500/sq.ft),"Specialized high-end porcelain slab manufacturer using SACMI Continua+ technology to produce seamless mega-format porcelain slabs for floors, walls, and countertops.","Morbi, Gujarat, Pan-India, Global Exports","Mega Porcelain Slabs (1200x2400mm, 1600x3200mm), Glazed Porcelain, Countertop Surfaces, Large Slabs","Lioli Porcelain Slabs, In-house collections"
Exxaro Tiles Ltd.,Mukeshbhai Ramanlal Patel (Managing Director),info@exxarotiles.com,+91 79 3500 5555,https://www.exxarotiles.com,18+ Years (Est. 2008),Mid-range to Premium (₹50 - ₹220/sq.ft),"Publicly traded ceramic manufacturer specializing in double charge vitrified tiles, glazed vitrified surfaces, and high-gloss porcelain tiles for commercial and residential applications.","Ahmedabad, Talod, Vadodara, Gujarat, Pan-India, Global Exports","Double Charge Vitrified Tiles, Glazed Vitrified Tiles (GVT/PGVT), Full Body Tiles, High Gloss Porcelain","Exxaro Tiles, In-house series"
Motto Tiles Pvt. Ltd. (Motto Group),Smit Patel (Director),info@mottogroup.in,+91 2822 244 555,https://www.mottogroup.in,16+ Years (Est. 2010),Premium (₹70 - ₹260/sq.ft),"Precision surface manufacturer providing engineered porcelain tiles, sintered stone slabs, and digital ceramic wall finishes for contemporary architecture.","Morbi, Gujarat, Pan-India, Global Exports (40+ countries)","Porcelain Slabs, Glazed Vitrified Tiles, Outdoor 20mm Slabs, Digital Wall Tiles, Motto Stone Sintered Surfaces","Motto Tiles, Motto Stone, In-house collections"
Lavish Granito Pvt. Ltd. (Lavish Ceramics),Dharmendra Bharatbhai Kaila (Director),info@lavishceramics.com,+91 2822 241 122,https://www.lavishceramics.com,12+ Years (Est. 2014),Economy to Premium (₹50 - ₹200/sq.ft),"High-capacity tile manufacturing plant delivering versatile digital wall tiles, polished glazed vitrified tiles, and heavy-duty parking surfaces.","Morbi, Rajkot, Gujarat, Pan-India, Global Exports","Glazed Vitrified Tiles, Digital Wall Tiles, Double Charge Vitrified, Parking & Heavy Duty Tiles","Lavish Ceramics, Lavish Granito"
Itaca Ceramic Pvt. Ltd.,Kiran Shamjibhai Amrutiya (Director),info@itaca.in,+91 90990 88201,https://www.itaca.in,17+ Years (Est. 2009),Premium (₹65 - ₹250/sq.ft),"Advanced ceramic and porcelain manufacturer producing digital glazed vitrified tiles, wooden plank finishes, and polished marble-look floor surfaces.","Morbi, Gujarat, Pan-India, Global Exports (35+ countries)","Glazed Vitrified Tiles (GVT), Polished Glazed Vitrified Tiles (PGVT), Full Body Porcelain, Wooden Finish Planks","Itaca Ceramic, In-house collections"
