Agency Name,Email,Phone number,City,Country,Trade license no.,RERA Number,Agency Size,Specializations,Website
Square Yards (Square Yards Consulting Pvt. Ltd.),connect@squareyards.com,+91 1800 208 3344,Gurgaon,India,U74140DL2014PTC263675,HRERA(Reg.) 59 of 2017,Enterprise (200+),"Primary Residential Sales, New Project Marketing, Commercial Leasing, Proptech & Mortgages",https://www.squareyards.com
360 Realtors LLP,info@360realtors.com,+91 9654 360 360,Gurgaon,India,LLPIN: AAB-0935,HRERA(REG.) 59 OF 2017,Enterprise (200+),"Luxury Residential, Commercial Assets, Strategic Project Marketing, NRI Advisory",https://www.360realtors.com
Investors Clinic Infratech Pvt. Ltd.,customercare@investors-clinic.com,+91 8010 101 010,Noida,India,U70102DL2007PTC171724,UPRERAAGT10052,Enterprise (200+),"New Residential Launches, High-Rise Apartments, Commercial Retail, Portfolio Management",https://investorsclinic.in
Realistic Realtors Pvt. Ltd.,corporate@realisticrealtors.com,+91 120 4004747,Gurgaon,India,U70109DL2007PTC160533,RC/HARERA/GGM/2053/1648/2023/166,Large (51-200),"Commercial Office Leasing, High-Street Retail, Industrial & Logistics, Land Acquisition",https://www.realisticrealtors.com
Anarock Property Consultants Pvt. Ltd.,info@anarock.com,+91 124 4734000,Gurgaon,India,U70102MH2017PTC295287,HRERA-PKL-REA-132-2018,Enterprise (200+),"Luxury Residential, Commercial Real Estate, Capital Markets, Land Services, Retail Advisory",https://www.anarock.com
Buniyad Realty Ltd.,info@buniyad.com,+91 120 4500000,Noida,India,U70101DL1989PLC037233,UPRERAAGT11569,Large (51-200),"Industrial & Warehousing, Residential Resale, Commercial Leasing, Institutional Land Deals",https://www.buniyad.com
Geetanjali Homestate Pvt. Ltd.,info@geetanjalihomestate.co.in,+91 9999 050 505,Gurgaon,India,U70109HR2013PTC088132,RC/HARERA/GGM/1283/878/2021/85,Large (51-200),"Luxury Residential Floors, Premium High-Rise Living, Commercial SCO Plots, Project Marketing",https://www.geetanjalihomestate.co.in
InvestoXpert Advisors Pvt. Ltd.,info@investoxpert.com,+91 8010 724 724,Noida,India,U70102UP2016PTC088015,UPRERAAGT21108,Large (51-200),"Residential Township Sales, Luxury High-Rise Condos, Commercial Retail, Property Advisory",https://www.investoxpert.com
MoneyTree Realty Services Ltd.,info@moneytreerealty.com,+91 9732 300 007,Noida,India,U70100UP2021PTC157006,UPRERAAGT22104,Medium (11-50),"Luxury Residential, Commercial Studio Spaces, Pre-Leased Assets, Primary Project Marketing",https://moneytreerealty.com
Bullmen Realty India Pvt. Ltd.,info@bullmenrealty.com,+91 7400 101 010,Noida,India,U70109UP2015PTC073618,UPRERAAGT10138,Large (51-200),"Residential Apartments, Commercial Lockable/Non-Lockable Spaces, Villa Communities",https://bullmenrealty.com
Wealth Clinic Pvt. Ltd.,info@wealth-clinic.com,+91 7575 917 070,Noida,India,U70109UP2012PTC053744,UPRERAAGT10123,Large (51-200),"High-End Residential, Integrated Townships, High-Street Commercials, Investment Advisory",https://wealth-clinic.com
Rise Infraventures Ltd.,contact@riseinfraventures.com,+91 1800 547 7799,Gurgaon,India,U70109HR2020PLC089851,RC/HARERA/GGM/1478/1073/2021/80,Large (51-200),"Ultra-Luxury Housing, Commercial SCOs, Retail Leasing, Land Aggregation & Structuring",https://riseinfraventures.com
White-Collar Realty,info@whitecollarrealty.com,+91 8810 286 629,Gurgaon,India,U70109HR2020PTC090884,RC/HARERA/GGM/4418/4013/2026/45,Medium (11-50),"Luxury High-Rise Residences, Premium Commercial Complexes, HNI Property Advisory",https://whitecollarrealty.com
Propshop Real Estate Consultancy,info@propshop.org.in,+91 9643 353 535,Greater Noida,India,U70109UP2014PTC063712,UPRERAAGT10129,Medium (11-50),"Residential Apartments, Greater Noida West Corridors, High-Street Retail, Pre-Launch Marketing",https://propshop.org.in
Axiom Landbase Pvt. Ltd.,info@axiomlandbase.in,+91 9999 344 441,Gurgaon,India,U70102DL2011PTC215682,RC/HARERA/GGM/1329/924/2021/131,Large (51-200),"Luxury Independent Floors, Dwarka Expressway Corridors, Golf Course Ext Road, Commercial SCOs",https://www.axiomlandbase.in
CBRE South Asia Pvt. Ltd.,Corp.Secretarial@cbre.com,+91 11 4239 8000,New Delhi,India,U74140DL1999PTC100244,DLRERA2018A0012,Enterprise (200+),"Global Workplace Solutions, Commercial Office Leasing, Capital Markets, Valuation, Industrial/Logistics",https://www.cbre.co.in
Jones Lang LaSalle Property Consultants (India) Pvt. Ltd. (JLL India),queries.india@jll.com,+91 124 460 5000,New Delhi,India,U74140DL1997PTC091396,DLRERA2018A0018,Enterprise (200+),"Corporate Real Estate, Office Leasing, Investment Banking & Capital Markets, Project Services",https://www.jll.co.in
Knight Frank (India) Pvt. Ltd.,corpcomm@in.knightfrank.com,+91 124 478 2700,New Delhi,India,U74140MH1995PTC090881,DLRERA2018A0022,Enterprise (200+),"Prime Residential, Commercial Brokerage, Facilities Management, Industrial Logistics Advisory",https://www.knightfrank.co.in
Cushman & Wakefield India Pvt. Ltd.,feedback.india@cushwake.com,+91 124 469 5555,New Delhi,India,U74899DL1997PTC085375,DLRERA2018A0015,Enterprise (200+),"Tenant Representation, Capital Markets, Agency Leasing, Corporate Asset Management",https://www.cushmanwakefield.com/en/india
Shubhkamna Properties Pvt. Ltd.,info@shubhkamna.com,+91 9314 054 348,Jaipur,India,U70101RJ2008PTC027055,RAJ/A/2017/108,Medium (11-50),"Premium Residential Plots, Gated Villas, Vaishali Nagar Corridors, Commercial Retail",https://www.shubhkamna.in
Star Estate (Star Realcon Pvt. Ltd.),info@starestate.in,+91 7070 707 025,Jaipur,India,U70102DL2012PTC237446,RAJ/A/2024/12193,Large (51-200),"New Project Marketing, Luxury Residential, High-Street Commercials, End-to-End Consulting",https://www.starestate.com
Royals Property Consultant,info@royalspropertyconsultant.com,+91 9878 759 508,Chandigarh,India,Trade Reg: CH-882190,PBRERA-SAS80-REA0418,Small (1-10),"Luxury High-Rise Apartments, NRI Property Investments, Commercial SCO Plots, Residential Resale",https://royalspropertyconsultant.com
Orion Realtors (Orion Infrabuild Pvt. Ltd.),info@orionrealtors.com,+91 124 425 2200,Gurgaon,India,U70109DL2008PTC176584,RC/HARERA/GGM/2018/125,Medium (11-50),"Affordable Housing Schemes, High-Rise Residential, Commercial SCOs, Golf Course Ext Road",https://www.orionrealtors.com
Aadinath UR Homes Infra Realtech LLP,info@aadinathindia.com,+91 9911 331 116,Noida,India,LLPIN: AAF-7521,UPRERAAGT16840,Medium (11-50),"Commercial IT/ITES Parks, Retail High-Street Shops, Noida Expressway Investments",https://aadinathindia.com
Realty 360 Degree Ventures Pvt. Ltd.,info@realty360degree.com,+91 7290 098 947,Lucknow,India,U70102DL2013PTC254876,UPRERAAGT18728,Medium (11-50),"Residential Apartments, Studio Apartments, Lucknow Expressway Developments, Commercial Spaces",https://realty360degree.com
